,Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Selecciona las redes sociales que utilizas en tu día a día,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Selecciona las plataformas de streaming que utilizas en tu día a día,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,Unnamed: 27,Unnamed: 28,Unnamed: 29,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,Unnamed: 56,Unnamed: 57,Unnamed: 58,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
34,18/11/2021 22:59:48,2,4,7,13,17,21,22,24,,,26,27,28,29,,,32,33,36,,,,,40,38,38,,,,50,56,59,61,63,65,66,,,70,73,78,79,82,,,,61,26,27,,,,86,62.0,95,,,,56,,,100,102,106,102,102,,,,,,,116
35,18/11/2021 23:21:02,2,4,8,13,18,21,25,,,,27,,,,,,32,36,37,,,,,39,38,48,25,,,51,56,58,61,66,,,,,67,72,20,85,,,,,62,,,,,,,,,,,,55,56.0,55.0,99,102,107,101,101,111,112,,,,,116
36,18/11/2021 23:21:19,2,4,7,13,18,21,24,,,,27,,,,,,32,33,37,,,,,40,45,25,,,,51,56,59,61,63,65,66,,,68,72,78,82,,,,,62,,,,,,,,,,,,55,56.0,56.0,98,101,107,101,101,113,,,,,,116
37,18/11/2021 23:22:25,2,5,9,12,18,21,22,23,24,25.0,26,27,29,,,,32,33,34,,,,,41,38,38,,,,52,56,59,62,,,,,,,75,76,82,,,,,61,26,27,29,,,89,61.0,95,,,,55,56.0,56.0,99,102,105,102,101,110,111,112,,,,116
38,18/11/2021 23:23:26,1,4,7,13,18,21,22,24,,,26,27,28,29,,,32,,,,,,,39,38,47,48,25,,50,56,58,61,63,64,,,,68,73,77,80,,,,,61,27,,,,,86,62.0,95,,,,55,56.0,56.0,100,101,106,102,101,112,113,,,,,116
39,18/11/2021 23:26:22,1,4,7,12,17,21,24,,,,26,27,28,29,,,32,33,34,36,37,,,41,38,25,,,,50,55,42,61,63,65,,,,70,73,76,82,83,,,,61,27,,,,,87,62.0,95,,,,55,56.0,55.0,99,101,105,101,102,,,,,,,116
40,18/11/2021 23:34:25,2,4,6,13,18,21,22,,,,26,27,28,29,,,32,,,,,,,39,38,38,,,,51,56,59,61,64,,,,,70,74,20,82,84,,,,61,26,,,,,86,62.0,95,,,,55,56.0,55.0,99,101,106,101,102,,,,,,,117
41,18/11/2021 23:41:21,1,4,6,13,19,21,22,24,,,27,29,,,,,32,33,36,37,,,,41,38,48,,,,50,56,59,61,64,65,,,,68,73,77,82,,,,,62,,,,,,,,,,,,56,,,98,101,106,101,102,,,,,,,116
42,19/11/2021 0:34:16,2,5,6,13,18,21,23,24,,,26,27,,,,,32,33,36,37,,,,40,46,49,,,,52,55,58,62,,,,,,,74,20,82,83,84,,,61,27,,,,,87,62.0,91,92,93,,55,56.0,55.0,98,102,107,101,101,109,110,112,113,,,116
43,19/11/2021 7:14:55,2,4,7,12,18,21,22,24,,,26,27,28,29,,,32,33,37,,,,,39,38,25,,,,50,56,59,61,63,64,65,,,67,73,20,85,,,,,61,26,27,,,,87,62.0,95,,,,55,56.0,56.0,99,102,107,101,102,,,,,,,120
44,19/11/2021 8:48:23,1,4,7,12,18,21,22,24,,,26,27,28,29,,,32,33,36,37,,,,40,38,25,,,,50,56,59,61,63,65,66,,,67,72,78,85,,,,,62,,,,,,,,,,,,56,,,100,101,107,102,101,109,112,113,,,,116
45,19/11/2021 8:52:08,2,4,11,13,18,21,,,,,26,27,28,,,,32,33,,,,,,40,45,38,,,,50,56,59,61,66,,,,,67,73,76,82,,,,,61,26,27,28,29,,86,62.0,95,,,,55,56.0,55.0,100,102,107,101,101,109,,,,,,116
46,19/11/2021 10:03:46,2,4,11,12,18,21,22,24,25,,26,27,28,,,,32,33,37,,,,,41,43,38,,,,50,56,42,61,66,,,,,68,72,78,82,,,,,61,26,27,,,,88,62.0,90,,,,55,56.0,56.0,100,101,107,102,101,111,,,,,,118
47,19/11/2021 10:10:15,2,4,7,13,19,21,22,24,,,26,,,,,,32,36,37,,,,,40,38,25,,,,50,56,58,61,64,,,,,67,72,77,80,82,,,,62,,,,,,,,,,,,55,56.0,55.0,100,101,107,101,102,,,,,,,118
48,19/11/2021 10:26:11,2,5,9,12,18,21,22,23,25,,26,27,28,,,,32,33,36,37,,,,40,44,49,,,,50,55,58,62,,,,,,,74,20,81,82,,,,61,26,27,,,,88,62.0,95,,,,55,56.0,56.0,98,102,106,101,102,,,,,,,118
49,19/11/2021 10:58:20,3,5,7,12,18,21,22,24,,,26,27,28,,,,32,33,,,,,,39,44,48,,,,51,56,59,62,,,,,,,74,20,79,82,83,,,61,26,31,,,,86,62.0,95,,,,56,,,99,101,107,101,101,109,111,112,,,,118
